Število naseljenih stanovanj po številu sob in številu oseb, obèine, Slovenija, veèletno;;;
;;;
OBÈINE;ŠTEVILO SOB;ŠTEVILO OSEB;2015
Bistrica ob Sotli;4 sobe;5 oseb;18
Bistrica ob Sotli;4 sobe;6 oseb;2
Bistrica ob Sotli;4 sobe;7 oseb ali veè;3
Bistrica ob Sotli;5 sob ali veè;Število oseb -SKUPAJ;97
Bistrica ob Sotli;5 sob ali veè;1 oseba;11
Bistrica ob Sotli;5 sob ali veè;2 osebi;10
Bistrica ob Sotli;5 sob ali veè;3 osebe;9
Bistrica ob Sotli;5 sob ali veè;4 osebe;26
Bistrica ob Sotli;5 sob ali veè;5 oseb;19
Bistrica ob Sotli;5 sob ali veè;6 oseb;12
Bistrica ob Sotli;5 sob ali veè;7 oseb ali veè;10
Bled;Število sob - SKUPAJ;Število oseb -SKUPAJ;2718
Bled;Število sob - SKUPAJ;1 oseba;685
Bled;Število sob - SKUPAJ;2 osebi;641
Bled;Število sob - SKUPAJ;3 osebe;487
Bled;Število sob - SKUPAJ;4 osebe;393
Bled;Število sob - SKUPAJ;5 oseb;233
Bled;Število sob - SKUPAJ;6 oseb;167
Bled;Število sob - SKUPAJ;7 oseb ali veè;112
Bled;1 soba;Število oseb -SKUPAJ;186
Bled;1 soba;1 oseba;87
Bled;1 soba;2 osebi;54
Bled;1 soba;3 osebe;19
Bled;1 soba;4 osebe;13
Bled;1 soba;5 oseb;4
Bled;1 soba;6 oseb;6
Bled;1 soba;7 oseb ali veè;3
Bled;2 sobi;Število oseb -SKUPAJ;445
Bled;2 sobi;1 oseba;171
Bled;2 sobi;2 osebi;139
Bled;2 sobi;3 osebe;57
Bled;2 sobi;4 osebe;47
Bled;2 sobi;5 oseb;20
Bled;2 sobi;6 oseb;6
Bled;2 sobi;7 oseb ali veè;5
Bled;3 sobe;Število oseb -SKUPAJ;638
Bled;3 sobe;1 oseba;191
Bled;3 sobe;2 osebi;171
Bled;3 sobe;3 osebe;131
Bled;3 sobe;4 osebe;85
Bled;3 sobe;5 oseb;27
Bled;3 sobe;6 oseb;20
Bled;3 sobe;7 oseb ali veè;13
Bled;4 sobe;Število oseb -SKUPAJ;498
Bled;4 sobe;1 oseba;102
